"parent","id","name","value","final_layer"
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.MICRO SYSTEMS, INC.","MICRO SYSTEMS, INC.","128474",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.MORGAN ADVANCED CERAMICS, INC","MORGAN ADVANCED CERAMICS, INC","694296",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.MORGAN ADVANCED CERAMICS, INC.","MORGAN ADVANCED CERAMICS, INC.","76100",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.NICOMATIC, L.P.","NICOMATIC, L.P.","51158",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.ORBITAL SCIENCES CORPORATION","ORBITAL SCIENCES CORPORATION","9126915",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.ORBITAL SCIENCES LLC","ORBITAL SCIENCES LLC","7924969",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC","PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC","9049589",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.PARALLEL VENTURES, INC.","PARALLEL VENTURES, INC.","95427",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.PARKER-HANNIFIN CORPORATION","PARKER-HANNIFIN CORPORATION","1691109",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.PCB PIEZOTRONICS, INC.","PCB PIEZOTRONICS, INC.","123836",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.PCC STRUCTURALS, INC.","PCC STRUCTURALS, INC.","1193104",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.PORT ELECTRONICS CORPORATION","PORT ELECTRONICS CORPORATION","711044",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.PRAXIS RESOURCES INC.","PRAXIS RESOURCES INC.","237293",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.PROMAT INC","PROMAT INC","96373",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.QUASONIX, LLC","QUASONIX, LLC","198975",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.RADIUS AEROSPACE, INC.","RADIUS AEROSPACE, INC.","357326",TRUE
