"id","name","description","cost","type","scaled_radius"
"88","Tech/Eng Services.","Tech/Eng Services.","338484","subcontract",10
"91","Time & Material","Time & Material","314154","subcontract",10
"95","Gen Structural Assys, NRE - Engineering.","Gen Structural Assys, NRE - Engineering.","286176","subcontract",10
"96","Gen Structural Assys, NRE - Engineering.","Gen Structural Assys, NRE - Engineering.","286176","subcontract",10
"98","Time & Material","Time & Material","265477","subcontract",10
"100","Explosive Cut Device.","Explosive Cut Device.","230580","subcontract",10
"101","Explosive Cut Device.","Explosive Cut Device.","230580","subcontract",10
"109","NRE - Other.","NRE - Other.","199862","subcontract",10
"112","NRE - Other.","NRE - Other.","197547","subcontract",10
"113","NRE - Other.","NRE - Other.","197472","subcontract",10
"125","Time & Material","Time & Material","180147","subcontract",10
"172","Gen Structural Assys, NRE - Other.","Gen Structural Assys, NRE - Other.","121018","subcontract",10
"173","Gen Structural Assys, NRE - Other.","Gen Structural Assys, NRE - Other.","121018","subcontract",10
"197","NRE - Other.","NRE - Other.","99925","subcontract",10
"199","NRE - Other.","NRE - Other.","98553","subcontract",10
"202","NRE - Other.","NRE - Other.","91925","subcontract",10
"208","Custom CCA's, NRE - Other.","Custom CCA's, NRE - Other.","88813","subcontract",10
"218","CableAssy&HarnMulti, NRE - Other.","CableAssy&HarnMulti, NRE - Other.","84626","subcontract",10
"219","CableAssy&HarnMulti, NRE - Other.","CableAssy&HarnMulti, NRE - Other.","84626","subcontract",10
"227","Time & Material","Time & Material","78835","subcontract",10
"238","Custom CCA's.","Custom CCA's.","71967","subcontract",10
"242","CableAssy&HarnMulti, NRE - Other.","CableAssy&HarnMulti, NRE - Other.","70147","subcontract",10
"243","CableAssy&HarnMulti, NRE - Other.","CableAssy&HarnMulti, NRE - Other.","70147","subcontract",10
"275","NRE - Engineering.","NRE - Engineering.","55915","subcontract",10
"276","NRE - Engineering.","NRE - Engineering.","55915","subcontract",10
"284","NRE - Other, Protect&Dust Covers, Rectanglar Connector, S&A Devices.","NRE - Other, Protect&Dust Covers, Rectanglar Connector, S&A Devices.","50371","subcontract",10
"285","NRE - Other, Protect&Dust Covers, Rectanglar Connector, S&A Devices.","NRE - Other, Protect&Dust Covers, Rectanglar Connector, S&A Devices.","50371","subcontract",10
"293","CableAssy&HarnMulti, NRE - Other.","CableAssy&HarnMulti, NRE - Other.","49145","subcontract",10
"304","CableAssy&HarnMulti.","CableAssy&HarnMulti.","46428","subcontract",10
"312","Encoders.","Encoders.","41145","subcontract",10
"313","Encoders.","Encoders.","41145","subcontract",10
"317","CableAssy&HarnMulti.","CableAssy&HarnMulti.","39096","subcontract",10
"328","Encoders.","Encoders.","31846","subcontract",10
"329","Encoders.","Encoders.","31846","subcontract",10
"RAYTHEON COMPANY","RAYTHEON COMPANY","IGF::OT::IGF HYPERSONIC AIR-BREATHING WEAPON CONCEPT (HAWC) PHASE 2","174746702","contractee",50
"AEROJET ROCKETDYNE, INC.","AEROJET ROCKETDYNE, INC.","AEROJET ROCKETDYNE, INC.","3870958","subawardee",11
"ALLIANT TECHSYSTEMS OPERATIONS LLC","ALLIANT TECHSYSTEMS OPERATIONS LLC","ALLIANT TECHSYSTEMS OPERATIONS LLC","128356212","subawardee",39
"DUCOMMUN LABARGE TECHNOLOGIES, INC.","DUCOMMUN LABARGE TECHNOLOGIES, INC.","DUCOMMUN LABARGE TECHNOLOGIES, INC.","1704361","subawardee",10
"DYNETICS TECHNICAL SOLUTIONS, INC.","DYNETICS TECHNICAL SOLUTIONS, INC.","DYNETICS TECHNICAL SOLUTIONS, INC.","3067888","subawardee",11
"ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY","ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY","ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY","4712046","subawardee",11
"L3 TECHNOLOGIES, INC.","L3 TECHNOLOGIES, INC.","L3 TECHNOLOGIES, INC.","1932714","subawardee",10
"MICRO CRAFT, INC.","MICRO CRAFT, INC.","MICRO CRAFT, INC.","2789257","subawardee",11
"ORBITAL SCIENCES LLC","ORBITAL SCIENCES LLC","ORBITAL SCIENCES LLC","7924969","subawardee",12
"PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC","PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC","PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC","5326010","subawardee",11
"TRI MODELS, INC.","TRI MODELS, INC.","TRI MODELS, INC.","1852542","subawardee",10
